國英,國數,國社,國自,英數,英社,英自,數社,數自,自社,國英數,國英自,國英社,國數社,國數自,國自社,英數社,英數自,英自社,數自社,國英數自,國英數社,國數自社,英數自社,國英自社
1761,2197,802,1240,3488,925,2009,1068,3500,352,1271,873,368,353,1076,151,466,1752,200,299,779,221,137,183,107
5217,6799,2868,3615,8658,2866,4722,2945,7526,1003,3496,2281,1186,1172,3031,483,1383,3986,602,832,2018,693,420,532,344
10387,13337,6435,6811,14426,6104,7895,6269,11946,2236,6668,4172,2706,2645,5622,1104,2937,6597,1305,1806,3634,1578,950,1152,782
17029,20554,11961,10678,20096,10490,11411,10388,16350,3818,10376,6474,4873,4722,8500,1987,4978,9277,2230,3006,5556,2764,1649,1883,1349
24822,27717,19069,15087,25597,15658,15181,15213,20680,6002,14561,8950,7661,7424,11649,3197,7459,12078,3368,4590,7616,4313,2631,2860,2088
32729,34787,27499,20025,30953,21454,19174,20835,24797,8624,18829,11747,11168,10576,15025,4652,10299,15028,4781,6340,9771,6168,3798,3933,3046
40887,41891,36621,25232,36371,27672,23186,26711,28841,11582,23230,14625,15048,14265,18412,6417,13401,17909,6336,8256,12087,8292,5084,5150,4126
48917,48801,46092,30625,41656,34080,27274,32734,32786,15296,27779,17762,19237,18320,21720,8490,16741,20823,8160,10358,14499,10571,6566,6545,5344
56764,55900,55442,36186,46986,40628,31191,38977,36605,19624,32253,21033,23793,22669,25090,10876,20245,23612,10155,12594,16924,13150,8116,8027,6788
64216,62837,64540,42137,52337,47062,35518,45352,40463,24674,36760,24384,28679,27327,28545,13603,23877,26315,12436,14991,19342,15940,9831,9510,8261
71427,69991,72980,48345,57749,53625,40010,51886,44318,30475,41323,27768,33664,32054,31808,16689,27589,29082,14885,17527,21836,18763,11699,11144,9921
78303,76915,80177,55133,63259,59927,44625,58400,48024,36733,45860,31270,38717,37113,35177,20292,31391,31844,17482,20062,24276,21747,13568,12742,11867
85030,83726,86288,62170,68553,66113,49444,64728,51983,43193,50259,34820,43820,42248,38531,24179,35277,34600,20476,22770,26668,24867,15665,14574,13881
