國,英,數,自,社
4438,7689,7782,4135,2575
15968,21084,16628,9758,8732
34907,34595,25565,16389,23874
57338,47503,35968,23706,40948
79170,58284,46895,31458,59771
97746,68090,56227,39350,77540
111175,76748,67804,47899,92210
120157,84994,78646,57438,103227
126226,92987,87575,68782,111283
130284,101714,97785,82808,116952
133025,111260,108293,96939,120016
134683,123285,117852,106003,121092
135719,133810,127651,108352,121211
136156,135892,132746,108492,121220
136182,135939,133652,108504,121223
136189,135948,133693,108515,121232
