國英,國數,國社,國自,英數,英社,英自,數社,數自,自社,國英數,國英自,國英社,國數社,國數自,國自社,英數社,英數自,英自社,數自社,國英數自,國英數社,國數自社,英數自社,國英自社
1451,384,551,1162,598,522,1659,73,912,213,244,702,228,35,311,102,41,478,122,48,211,26,28,31,72
4384,1244,2022,3481,1606,1758,4137,262,2027,664,790,1996,787,138,924,328,168,1187,367,183,646,103,103,127,225
8696,2630,4748,6614,3014,3916,7100,661,3514,1565,1584,3724,1797,322,1838,734,379,2137,845,411,1257,229,231,269,493
13987,4669,8994,10404,4998,7061,10225,1342,5511,2872,2766,5827,3292,676,2961,1449,760,3342,1530,748,2022,450,427,523,909
20077,7402,14889,14515,7373,10873,13505,2457,7794,4676,4327,8138,5353,1260,4488,2415,1328,4760,2397,1243,3076,797,765,825,1478
26749,10817,22087,19059,10246,15356,16830,4097,10361,6905,6199,10564,7930,2082,6236,3578,2110,6366,3485,1867,4264,1346,1143,1223,2168
33675,15052,30121,23873,13747,20382,20381,6355,13211,9589,8391,13128,10867,3278,8153,5030,3180,8070,4730,2581,5603,2027,1655,1704,3043
40681,20130,38516,29082,17744,25682,24012,9378,16465,12842,10911,15811,14285,4848,10312,6760,4503,9995,6178,3504,6983,2854,2237,2234,3938
47863,26057,47195,34574,22157,31240,27795,13240,19876,16719,13850,18512,17959,6916,12671,8901,6208,12032,7790,4602,8518,3918,2917,2932,5071
54893,32874,55864,40360,26909,37132,31688,18010,23511,21150,17083,21453,21889,9346,15244,11265,8201,14243,9520,5833,10188,5271,3802,3670,6341
61818,40619,64110,46588,32060,42763,35755,24025,27397,26251,20621,24557,26043,12365,17891,13948,10591,16558,11484,7244,11916,6766,4735,4516,7677
68752,49246,71775,53040,37632,48730,39925,30923,31483,31980,24561,27726,30249,15972,20857,17030,13231,18878,13668,8853,13772,8487,5803,5486,9142
75535,58597,78696,59665,43394,54758,44177,38776,35774,37913,28649,31040,34730,20086,23869,20353,16211,21278,16021,10681,15779,10543,7059,6531,10771
82307,68508,84593,66217,49498,60752,48611,47217,40059,44000,32913,34330,39427,24742,27061,24150,19464,23785,18489,12701,17775,12838,8446,7636,12484
89205,78339,89552,72454,55801,66886,53207,55820,44645,49811,37447,37784,44024,29942,30314,28203,23022,26419,21226,14893,19851,15236,9917,8923,14426
95959,87540,93660,77944,62521,73238,58013,64276,49513,55512,42198,41218,48639,35531,33835,32405,26844,29060,24157,17392,22031,17888,11552,10274,16434
102280,95689,97134,82487,69162,79444,62931,72179,54688,60522,47072,44830,53525,41641,37390,36809,30908,31763,27278,20178,24174,20777,13357,11746,18661
107987,102762,99888,86008,75856,85342,67792,79216,60067,64788,52153,48555,58354,47765,41135,41449,35241,34596,30507,23183,26426,23748,15299,13285,20930
112902,108502,102016,88644,82434,90674,72766,85468,65833,68531,57238,52347,63133,54034,45190,45898,39642,37457,33841,26433,28804,27030,17514,14995,23406
116811,112971,103605,90623,88972,95831,77575,90883,71627,71446,62474,56188,67952,60157,49221,50206,44314,40481,37220,30066,31266,30422,19847,16815,26015
119909,116539,104683,92114,95526,100246,82295,95684,77272,73520,67803,59959,72673,66079,53403,54217,48935,43606,40781,33944,33669,34007,22354,18657,28599
122201,119301,105456,93225,101922,103321,86755,99605,82503,74888,73124,63789,77079,71712,57920,57924,53737,46919,44278,38043,36185,37643,25009,20623,31298
123866,121317,105941,94028,108201,105162,90424,102421,87024,75589,78347,67545,81401,76797,62268,61119,58504,50277,47808,42298,38777,41385,27953,22771,33976
125007,122645,106195,94579,114194,105869,93048,104061,90550,76041,83361,71238,85274,81272,66723,63851,63333,53860,51343,46648,41387,45183,30999,24984,36886
125709,123542,106296,94909,119379,106067,94121,104752,92910,76326,88403,74807,88747,85291,70914,66182,68054,57350,54799,50738,44245,49061,34237,27320,39745
125983,124057,106344,95100,122692,106177,94514,105027,93889,76529,93292,78069,91887,88840,74936,68277,72759,60941,58074,54738,47134,52973,37626,29765,42549
126065,124335,106390,95260,123965,106302,94884,105124,94321,76609,97881,81201,94794,91956,78580,69985,77296,64630,61175,58238,50071,56957,40908,32351,45395
126120,124513,106447,95463,124416,106432,95374,105175,94665,76622,102198,83927,97272,94587,81717,71451,81590,68237,63967,61512,53089,60865,44293,34958,48249
126137,124556,106476,95532,124504,106466,95476,105229,94953,76623,106223,86354,99440,97029,84428,72651,85536,71744,66530,64378,56110,64666,47634,37770,51079
126140,124558,106477,95536,124519,106468,95479,105252,95022,76625,109849,88287,101292,99101,86717,73663,89197,75087,68918,66995,59026,68429,50801,40488,53776
126146,124567,106483,95540,124527,106471,95484,105258,95027,76627,112939,89973,102756,100754,88625,74503,92580,78432,71020,69293,62053,72156,53864,43266,56409
,,,,,,,,,,115702,91409,103953,102152,90234,75124,95857,81615,72896,71309,65073,75682,56756,46011,58918
,,,,,,,,,,118061,92559,104854,103172,91624,75617,98852,84600,74236,73041,68037,79162,59314,48872,61212
,,,,,,,,,,120090,93473,105505,103929,92694,75977,101351,87394,75214,74347,70874,82309,61662,51608,63284
,,,,,,,,,,121703,94207,105929,104486,93554,76229,103170,89879,75815,75199,73561,85222,63712,54308,65196
,,,,,,,,,,122838,94674,106149,104846,94132,76386,104325,91999,76147,75720,76239,87948,65577,56912,66878
,,,,,,,,,,123594,94962,106249,105055,94527,76504,104869,93481,76378,76012,78736,90447,67297,59307,68413
,,,,,,,,,,124043,95136,106302,105178,94795,76607,105070,94228,76538,76219,81065,92760,68757,61651,69858
,,,,,,,,,,124301,95287,106353,105244,94966,76665,105164,94610,76604,76360,83225,94825,70119,63829,71081
,,,,,,,,,,124471,95431,106407,105281,95103,76697,105218,94887,76638,76457,85145,96737,71322,65740,72192
,,,,,,,,,,124534,95507,106440,105311,95215,76717,105273,95088,76666,76517,86914,98466,72383,67595,73169
,,,,,,,,,,124572,95541,106465,105345,95298,76741,105342,95223,76720,76536,88381,100038,73339,69326,73985
