編碼,系,人數,篩選1,篩選2,篩選3,篩選4,超篩
1012,中國文學系,20,社=14,英=13,國=15,--,有
1022,外國語文學系,46,英=15,--,--,--,有
1032,歷史學系,24,國英社=43,--,--,--,有
1042,哲學系,20,國數=27,英=14,--,--,有
1052,人類學系,11,英=14,國英數社=57,--,--,有
1062,圖書資訊學系,18,國英數社=55,國=14,英=15,--,--
1072,日本語文學系,23,國英數社=56,社=15,國英=28,--,有
1092,數學系,16,自=14,數=15,--,--,有
1102,物理學系,27,自=14,數=15,--,--,有
1112,化學系,29,自=14,數=15,英=14,--,有
1122,地質科學系,22,國=11,英=11,數=13,自=14,有
1132,心理學系,20,英數自=44,--,--,--,有
1142,地理環境資源學系,13,英數社=42,社=15,數=14,英=14,有
1152,大氣科學系,18,國英數自=57,--,--,--,有
1162,政治學系政治理論組,12,國社=29,英=15,--,--,有
1172,政治學系國際關係組,12,國社=29,英=15,--,--,有
1182,政治學系公共行政組,12,國社=29,英=15,--,--,有
1192,經濟學系,52,自社=26,數=15,--,--,有
1202,社會學系,14,國英社=44,--,--,--,有
1212,社會工作學系,17,國數社=40,英=15,--,--,有
1222,醫學系,50,國=15,國英數自=60,英數自=45,--,有
1232,醫學系(公費生),12,國=15,國英數自=59,英數自=44,--,有
1242,牙醫學系,12,國英數自=59,英數自=45,--,--,有
1252,藥學系,21,數自=30,國英數自=58,--,--,有
1262,醫學檢驗暨生物技術學系,18,英=14,數=15,自=14,--,有
1272,護理學系,19,英=9,自=12,--,--,有
1282,物理治療學系,20,英=12,自=14,--,--,有
1292,職能治療學系,21,英=13,國=13,數自=28,--,有
1302,土木工程學系,57,國英數自=56,--,--,--,有
1312,機械工程學系,78,國英數自=57,--,--,--,有
1322,化學工程學系,62,國英數自=58,--,--,--,有
1332,工程科學及海洋工程學系,27,國英數自=57,英數自=44,--,--,有
1342,材料科學與工程學系,29,國英數自=59,--,--,--,有
1352,醫學工程學系,12,國英數自=59,--,--,--,有
1362,農藝學系,14,國英數自=55,--,--,--,有
1372,生物環境系統工程學系,22,英=13,自=13,數=15,--,有
1382,農業化學系,25,國英數自=41,數=9,自=14,--,有
1392,森林環境暨資源學系,33,自=14,--,--,--,有
1402,動物科學技術學系,14,國英數=40,自=14,--,--,有
1412,農業經濟學系,19,數=15,英=14,國=14,--,有
1422,園藝暨景觀學系,24,國英數自=55,--,--,--,有
1432,獸醫學系,29,國英數自=57,英=14,國數=29,自=14,有
1442,生物產業傳播暨發展學系,18,國英數=43,--,--,--,有
1452,生物機電工程學系,21,國英數自=57,英數自=43,--,--,有
1462,昆蟲學系,15,英=13,數=14,自=13,--,有
1472,植物病理與微生物學系,11,國英數自=42,自=13,英=14,--,有
1482,工商管理學系企業管理組,27,國英數社=59,國=15,--,--,有
1492,工商管理學系科技管理組,22,國英數自=57,國=15,--,--,有
1502,會計學系,42,國英數社=58,英數=30,--,--,有
1512,財務金融學系,45,國英數=44,數=15,英=15,--,有
1522,國際企業學系,45,國英數社=59,英=15,--,--,有
1532,資訊管理學系,32,國英數自=57,英數=30,--,--,有
1542,公共衛生學系,23,英數自=43,--,--,--,有
1552,電機工程學系,88,英數自=45,--,--,--,有
1562,資訊工程學系,60,英自=27,數=15,--,--,有
1582,法律學系法學組,12,國英=30,--,--,--,有
1592,法律學系司法組,12,國英=30,--,--,--,有
1602,法律學系財經法學組,12,國英=30,--,--,--,有
1612,生命科學系,30,國英數自=49,英自=26,--,--,有
1622,生化科技學系,27,數=9,英=13,自=15,--,有
1632,希望組甲組(文社法),10,國英數社=44,國英社=34,--,--,--
1642,希望組乙組(理),4,自=12,數=14,--,--,--
1652,希望組丙組(生醫),4,國英數自=50,英數自=37,--,--,--
1662,希望組丁組(工電資),13,國英數自=51,英數自=40,--,--,--
1672,希望組戊組(商管),3,國英數社=50,英數=27,--,--,有
1682,希望組己組(生農),9,國英數自=42,英數自=31,--,--,--
1692,醫學系(希望組庚組),1,國=15,國英數自=57,英數自=43,--,--
